pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
600,23.3,4.7,0.301,0.313,35.4,7.3,37.4,79.732935764,93.936582759,25.5,52.6
206,27.7,2.9,0.241,0.285,31.7,9.9,33.1,77.482322571,93.131533786,29.8,52.8
295,20.3,6.1,0.357,0.343,32.3,6.5,44.2,80.567643519,94.923821302,23.6,50.4
731,31.3,7.7,0.294,0.298,32.6,7.4,37.5,77.989468148,93.709835568,29.8,48.3
717,21.1,6.3,0.304,0.304,34.9,4.6,37.4,79.230778048,93.879585269,19.8,45.8
722,21.9,7.1,0.34,0.342,37.1,8.4,37.3,78.472414874,93.904787242,20.8,45.9
903,28.1,6.3,0.272,0.274,29.8,7.5,32.9,77.434162902,93.214610402,26.7,50.2
613,20.2,6.4,0.315,0.319,38.0,7.5,38.5,78.472563241,93.804930325,21.5,49.0
788,30.2,6.3,0.32,0.297,33.0,9.0,35.3,79.49947113,93.602302531,31.1,49.8
266,13.5,8.6,0.356,0.352,28.8,7.8,42.0,79.626142277,94.068312723,16.8,43.1
849,23.1,6.5,0.315,0.317,34.0,7.6,34.4,74.046742743,93.325617774,21.7,46.5
808,23.5,5.9,0.303,0.311,33.8,7.0,35.7,78.511315127,93.854074499,20.5,47.1
